Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
1.62,1399201.03709803,46021.7089099179,6434,3366
1.63,1398265.97061663,47040.483810334,6568,3427
1.64,1397084.02825454,47961.9191428512,6703,3502
1.65,1396049.16616932,48987.8192625565,6872,3529
1.66,1394954.83906092,49872.4160802698,7013,3577
1.67,1393991.29994311,50911.9050496585,7135,3669
1.68,1393005.86813583,51658.9040686728,7317,3698
1.69,1392204.0220641,52572.7927126346,7420,3777
1.7,1391228.77843656,53249.7658530404,7581,3843
1.71,1390073.65746076,54298.1725203434,7746,3889
1.72,1389045.69453932,55355.7646349625,7935,3920
1.73,1387895.73939038,56226.948595092,8071,3997
1.74,1386845.82867748,57261.8288402838,8243,4059
1.75,1385542.5408267,58161.8282248382,8419,4123
1.76,1384298.12220273,59504.943116887,8600,4189
1.77,1383011.1004744,60558.6751587894,8778,4255
1.78,1381647.2351834,61627.0048146331,8977,4273
1.79,1380511.41134931,62795.5510735719,9115,4377
1.8,1379409.19395115,63889.8033855697,9301,4428
1.81,1378283.29618478,64997.9004696487,9450,4518
1.82,1376953.14287196,65937.1869812431,9687,4551
1.83,1375536.70362121,67164.2559437145,9854,4620
1.84,1374425.15907221,68331.3426434258,10030,4703
1.85,1373125.50773711,69457.1180911112,10251,4741
1.86,1371867.10713331,70687.2970716415,10434,4824
1.87,1370436.3157986,71868.8241854676,10624,4944
1.88,1368688.25429771,73111.6085300673,10850,5015
1.89,1367397.04803064,74675.7312389694,11042,5118
1.9,1365892.86760678,75728.7239686989,11245,5172
1.91,1364350.74540758,77136.035411728,11452,5274
1.92,1362659.86641415,78618.4334281839,11691,5358
1.93,1361061.79943416,80104.8345481172,11924,5431
1.94,1359622.44371257,81358.6972267682,12184,5500
1.95,1358141.37043211,82880.5562279661,12392,5600
1.96,1356559.3045328,84242.3174518804,12623,5696
1.97,1354826.59532963,85693.1383753805,12887,5746
1.98,1353252.97079597,87110.7218749855,13113,5853
1.99,1351809.88968853,88538.6381651875,13368,5932
2,1350183.51920197,89883.1773894408,13618,6015
2.01,1348681.05267349,91371.1713543274,13825,6122
2.02,1347217.67748974,92760.7431521832,14083,6192
2.03,1345214.93547643,94048.2457165945,14347,6304
2.04,1343532.30617155,95761.2347920855,14573,6403
2.05,1341803.42742629,97330.1684241478,14821,6478
2.06,1339916.62909568,99206.040381261,15134,6511
2.07,1337977.15828053,100709.329974286,15398,6573
2.08,1336125.4900862,102435.247598001,15656,6663
2.09,1334219.92523601,104061.998900703,15901,6778
