Time,External Nutrition,Internal Nutrition,Active Hyphal,Inactive Hyphal,Tip
561,155885.372256208,3310.63024878079,35,1,15
562,155881.743370206,3358.0890798558,36,1,14
563,155874.228721246,3395.11914063409,36,1,14
564,155871.405415184,3411.57574259883,36,1,14
565,155870.455877547,3417.01755767125,36,1,14
566,155870.147911119,3418.79673499041,36,1,14
567,155870.048210345,3419.41938208431,36,1,14
568,155870.015775444,3419.6736261312,36,1,14
569,155870.005175995,3419.79544214866,36,1,14
570,155870.001701205,3419.85976409008,36,1,14
571,155870.00055974,3419.89446196298,36,1,14
572,155870.00018429,3419.9123468876,36,1,14
573,155870.000060701,3419.9204259175,36,1,14
574,155870.000019998,3419.92290297678,36,1,15
575,155870.00000659,3477.7565318368,37,1,14
576,155863.300865814,3506.98328850308,37,1,14
577,155860.929685252,3512.84480973151,37,1,14
578,155860.278371133,3512.32285772344,37,1,14
579,155860.089338049,3511.3279281642,37,1,14
580,155860.029455126,3510.68721655263,37,1,14
581,155860.009773468,3496.96376321215,37,1,14
582,155860.003239985,3538.51785861174,38,1,14
583,155853.566009789,3580.87934385492,38,1,14
584,155851.054689094,3596.46246923449,38,1,14
585,155850.304478225,3600.18710369973,38,1,14
586,155850.090058436,3600.69222388927,38,1,15
587,155850.027213723,3644.87191922958,39,1,15
588,155843.253585046,3733.86003889875,40,1,14
589,155834.020535993,3799.85988354361,41,1,14
590,155824.30228141,3852.93514128914,41,1,14
591,155821.128302935,3867.35365907069,41,1,15
592,155820.302378238,3911.5869426287,42,1,14
593,155813.800701437,3960.920528339,42,1,15
594,155811.144649519,3978.4540110022,43,1,14
595,155803.792953833,4034.88459439641,44,1,14
596,155801.219396138,4053.17645616372,45,1,14
597,155793.420133399,4117.26794008697,45,1,14
598,155790.771625,4137.40463403331,45,1,15
599,155790.182504954,4220.85617842093,46,1,14
600,155783.23326428,4240.69327060296,46,1,14
